feature,family,xs_share,conv_share
conformal_logm_abs,conformal,0.06067107331030451,0.14695272075650406
meta_h0_ar_r2,meta_h0 (constante por serie),0.04440362224091843,0.01920501919323405
cusum_var_up_r150,cusum,0.04299445117365917,0.023858760127642917
mmd_joint_slow_cal,mmd,0.041162796854574475,0.1005217885861168
meta_h0_acf_e2_l1,meta_h0 (constante por serie),0.03334153998724482,0.02342405741022457
meta_h0_hurst,meta_h0 (constante por serie),0.030215596134623098,0.016872460699883768
meta_h0_n_h,meta_h0 (constante por serie),0.02699401256303765,0.014380824137000012
meta_h0_acf_abs_mass,meta_h0 (constante por serie),0.02657822781585673,0.018224741629011238
accum_global_max_abs_eraw,accum,0.025689532466273035,0.01522779379716408
meta_h0_volvol,meta_h0 (constante por serie),0.02469752032713295,0.016654962883578827
accum_window_var_ln_w100_cal,accum,0.024238523931023843,0.012874197763111482
meta_h0_spectral_slope,meta_h0 (constante por serie),0.024210645528478555,0.013226842577634651
meta_h0_q99,meta_h0 (constante por serie),0.022839082077931817,0.01615420554642408
accum_welford_var_ln,accum,0.021713601988665024,0.013193544978465074
haar_contrast_fine_coarse,haar,0.020819011968721903,0.033886200632332886
mmd_joint_slow,mmd,0.019984629458274946,0.010678904273085254
hedge_window_var_ln,hedge,0.019352863333572848,0.012819091141242873
meta_h0_rho1_e,meta_h0 (constante por serie),0.018468066949358104,0.012433346189451678
